|created_time|id|link|message|message_tags|name|permalink_url|shares|story|story_tags|type|updated_time|place|from_name|from_id
0|2019-07-02T20:46:14+0000|358869244244848_1716974391767653|https://www.facebook.com/malawiredcross/photos/a.358896737575432/1716971345101291/?type=3|"Malawi Red Cross Society (MRCS) bid farewell to Kirstine Primdal Sutton as she leaves Africa

Danish Red Cross in country representative for Malawi Red Cross Society (MRCS), Kirstine Primdal Sutton on Tuesday left Malawi and Africa after 4 years of successful humanitarian work in Malawi and many years in African communities. Working through the Community Resilience Project that is supported by a consortium of Danish, Finnish, Icelandic and Italian Red Cross Societies, many lives of vulnerable communities were touched. 

Speaking on Sunday during the diner hosted in honor of the outgoing Danish Red Cross country representative and the MRCS Partner National Societies coordinator Kirstine Primdal Sutton, the president for Malawi Red Cross Society Mr. Levison Changole described her departure as a loss to the National Society. He said Kirstine was one delegate that wanted things to move. She was ready to assist the National society achieve its objectives.

MRCS Secretary General McBain Kanongodza said Kirstine contributed a lot to the development of the National Society. He cited the establishment of youth leader exchange visits programs between the Malawian youth and the Danish, Icelandic and Finnish youths as a big capacity building for the national society.

In her remarks, Kirstine said she was happy to see MRCS going through the organizational restructuring through the Turnaround strategy. She commended MRCS management for taking the risk, which has slowly started benefiting the National Society."||Photos from Malawi Red Cross Society - MRCS's post|https://www.facebook.com/358869244244848/posts/1716974391767653/|3.0|||photo|2019-07-03T10:54:59+0000||Malawi Red Cross Society - MRCS|358869244244848
1|2017-07-17T17:13:15+0000|358869244244848_1190564101075354|https://www.facebook.com/malawiredcross/photos/a.359290337536072/1190563974408700/?type=3|||'s cover photo|https://www.facebook.com/358869244244848/posts/1190564101075354/||Malawi Red Cross Society - MRCS updated their cover photo.|[{'id': '358869244244848', 'name': 'Malawi Red Cross Society - MRCS', 'type': 'page', 'offset': 0, 'length': 31}]|photo|2017-07-17T17:13:15+0000||Malawi Red Cross Society - MRCS|358869244244848
2|2015-02-05T21:06:52+0000|358869244244848_604699536328483|https://www.facebook.com/malawiredcross/photos/a.514890295309408/604699036328533/?type=3|"As the number of displaced people continues to rise with more rains pouring in most of the affected areas, provision of food and non food supplies remains critical. The Red Cross continues to mobilize resources to help those affected.  Today we received relief supplies from the International Federation of Red Cross and Red Crescent Societies (IFRC) to help us reach out to more people who have no shelter and other amenities. 

The supplies we have received are:

3100 kitchen sets
4000 tarpaulins
9000 mosquito nets

We continue to ask both local and international organizations to support our efforts to provide relief to the thousands of affected people in Malawi. #ndifeamodzi"|[]|Photos from Malawi Red Cross Society - MRCS's post|https://www.facebook.com/358869244244848/posts/604699536328483/|8.0|||photo|2015-02-21T03:18:46+0000||Malawi Red Cross Society - MRCS|358869244244848
4|2019-07-18T20:37:03+0000|1322101571218294_2241673552594420||Now at chamba conducting awareness campaign|||https://www.facebook.com/1322101571218294/posts/2241673552594420/||||status|2019-07-18T20:37:03+0000||Machinga Youth Red Cross Society of Malawi|1322101571218294
8|2019-07-02T15:56:06+0000|358869244244848_1716803481784744|https://www.facebook.com/malawiredcross/photos/a.358896737575432/1716800741785018/?type=3|"14,252 households supported with Non-Food (NFI) items under Malawi Red Cross Response

Over 14,252 households (71,252 people) in Chikwawa, Phalombe, Mulanje, Nsanje and Zomba have been supported with non-food items in the past three months from April to June under the Malawi Red Cross Society (MRCS) 2019 Floods response.

Speaking on Monday during the lessons learnt meeting at the end of the response operation in Blantyre, Malawi Floods 2019 Surge delegate who is also the Emergency Response Coordinator in the Danish Red Cross, Jan Erick Kroyer commended the MRCS for successfully managed the response that was the largest distribution of Nonfood items.

Secretary General for Malawi Red Cross Society, McBain Kanaongodza said he was pleased to note that all the targeted beneficiaries were assisted and had all left the camps. Kanongodza thanked the Danish led response that included DFID, EU ECHO, Swiss, Belgium, Icelandic and Netherlands Red Cross Societies for the support.

Each household received package that included 2 tarpaulins, 2 buckets, 2 mosquito nets, 2 blankets, 1 kitchen set, 1 shelter tool kit per 2 households, 5 washing soap, 3 bathing soap, 30 stripes of chlorine, 2 sleeping mats and dignity  kits for some households. Apart from items, MRCS has constructed Transitional Shelters to 170 households in Chikwawa, Phalombe and Nsanje.

Meanwhile MRCS is preparing to later in the month launch the 12 months recovery phase that will target the same districts."||Photos from Malawi Red Cross Society - MRCS's post|https://www.facebook.com/358869244244848/posts/1716803481784744/|5.0|||photo|2019-07-03T07:04:16+0000||Malawi Red Cross Society - MRCS|358869244244848
9|2017-07-17T16:58:42+0000|358869244244848_1190557231076041|https://www.facebook.com/malawiredcross/photos/a.358896737575432/1190555364409561/?type=3|"Malawi Red Cross Commends its Partner National Societies

Malawi Red Cross Society (MRCS) says it values the technical and financial support it receives from its National Partner societies (PNs). The remarks were made in Salima on Tuesday by MRCS Acting Secretary General Mr. Hastings Kandaya during the farewell ceremony the organization organized for the outgoing Swiss Red Cross Delegate Alexandra Machado.

Kandaya who is also MRCS director of programs thanked Swiss Red Cross and Alexandra for the partnership and coordination. He said Swiss Red Cross just like other PNs has added value to MRCS program scope. 

In her remarks Alexandra thanked management and staff of MRCS for the collaboration to which she attributed for the successful implementation of the Community Based Health Care Project phase one.

Swiss Red Cross is supporting the implementation of Blood Donor Recruitment Project in Blantyre and Lilongwe and the second phase of Community Based Health Care Program in Mzimba and Salima districts."||Photos from Malawi Red Cross Society - MRCS's post|https://www.facebook.com/358869244244848/posts/1190557231076041/|5.0|||photo|2017-07-17T16:58:42+0000||Malawi Red Cross Society - MRCS|358869244244848
10|2015-02-05T10:41:14+0000|358869244244848_604515673013536||It has been raining in the lower Shire since yesterday. Heavy rains have poured  throughout the night and this has affected our operations. The situation is bad in the camps as people cannot cook or go to fetch other necessities.  Our volunteers are continuing to work under the harsh conditions to help the victims including sick people who are being taken to health centers. If the rains continue new challenges could emerge including collapsing of the makeshift latrines as some are now full of water due to the rains. This may result to disease outbreaks. #ndifeamodzi|[]||https://www.facebook.com/358869244244848/posts/604515673013536/|2.0|||status|2015-02-06T20:00:38+0000||Malawi Red Cross Society - MRCS|358869244244848
12|2017-06-18T20:47:29+0000|1322101571218294_1322222104539574|https://www.facebook.com/1322101571218294/photos/a.1322222101206241/1322218101206641/?type=3|"We value ""confidentiality, efficiency & effectiveness, caring & trust, transparency & accountability"||Photos from Machinga Youth Red Cross Society of Malawi's post|https://www.facebook.com/1322101571218294/posts/1322222104539574/||||photo|2017-06-18T20:47:29+0000||Machinga Youth Red Cross Society of Malawi|1322101571218294
16|2019-06-24T19:17:21+0000|358869244244848_1710059282459164|https://www.facebook.com/malawiredcross/photos/a.358896737575432/1710058589125900/?type=3|"MAME Car Hire Donates Half a Million Kwacha to Malawi Red Cross Society 

MAME Car Hire Company on Friday donated half a Million Kwacha to Malawi Red Cross Society (MRCS) to support in the Floods response. Director for MAME Car Hire Gift Thakwalakwa said the company decided to donate to MRCS because it wants to assist the affected people. Thakwalakwa added that their company is satisfied with the humanitarian work MRCS is doing to support the affected people.

Secretary General for MRCS McBain Kanongodza thanked MAME Car Hire for the support. He said the donation would go a long way in support the floods affected people. He appealed to other companies to emulate the gesture demonstrated by MAME Car Hire."||Photos from Malawi Red Cross Society - MRCS's post|https://www.facebook.com/358869244244848/posts/1710059282459164/||||photo|2019-06-25T08:37:57+0000||Malawi Red Cross Society - MRCS|358869244244848
17|2017-07-07T13:35:55+0000|358869244244848_1183164195148678|https://www.facebook.com/malawiredcross/photos/a.358896737575432/1183158935149204/?type=3|"Malawi Red Cross Society engages drama in Disaster Risk Deduction drive

Malawi Red Cross Society (MRCS) with funding from European Union Humanitarian Aid and Civil Protection (ECHO) is implementing an 18 months Disaster Risk Reduction (DRR) program with the aim of building resilience to communities in Malawi to enable them reduce the risks of disasters. 

Chikwawa, Phalombe Nsanje and Thyolo are the targeted districts. These four districts are among the 15 districts that are prone to flooding.  

Apart from many activities and initiatives, the project engages the school pupils and communities to disseminate early waning and other DRR messages through drama performances.

According to the ECHO DRR Project Manager Roster Kufandiko, the use of dram and songs has proved to be an effective tool of disseminating DRR messages as this has raised awareness within vulnerable communities in disaster prone areas of the possible dangers of natural disasters. Kufandiko said that the dramas are participatory in nature where by the drama is paused in the middle of the play and allow members of the audience to substitute actors and take up the role of the actor. “This makes the audience follow every word and in turn get all the information.”  Kufandiko said.

On mitigation measures to flooding, among others, MRCS through the project has installed River Gages on almost all the rivers that pose threats to the communities. 

The MRCS ECHO DRR project interventions have already proved to be a success as evidenced by the much acquired knowledge on reading early warning signs and the level of awareness on general Disaster Risk Reduction issues among the target population."||Photos from Malawi Red Cross Society - MRCS's post|https://www.facebook.com/358869244244848/posts/1183164195148678/|4.0|||photo|2017-07-08T11:57:04+0000||Malawi Red Cross Society - MRCS|358869244244848
