|about|category|category_list|company_overview|description|emails|engagement|fan_count|general_info|id|is_permanently_closed|link|mission|name|phone|single_line_address|username|website|founded|hours|location|verification_status|birthday|privacy_info_url
0|Wij helpen mensen in nood. Dat doen we om de hoek – en ver weg. Dat doen we vanuit ons hart en met de mouwen opgestroopt. Want wij zijn het Rode Kruis.|Nonprofit Organization|[{'id': '2603', 'name': 'Nonprofit Organization'}, {'id': '147714868971098', 'name': 'Public & Government Service'}]|Het Rode Kruis is de hulporganisatie op het gebied van noodhulp, zelfredzaamheid en EHBO / Eerste hulp. Kijk voor meer informatie op www.rodekruis.nl|Wij helpen mensen in nood. Dat doen we om de hoek – en ver weg. Dat doen we vanuit ons hart en met de mouwen opgestroopt. Want wij zijn het Rode Kruis.|['info@redcross.nl']|{'count': 169143, 'social_sentence': '169K people like this.'}|169143.0|Wij helpen mensen in nood. Dat doen we om de hoek – en ver weg. Dat doen we vanuit ons hart en met de mouwen opgestroopt. Want wij zijn het Rode Kruis.|180532465311930|0.0|https://www.facebook.com/rodekruis/|"Het Rode Kruis richt zich acute noodhulp. In binnen- en buitenland doen wij
er alles aan om te voorkomen dat iemand in tijden van nood er alleen voor staat; dat iedereen zo goed mogelijk is voorbereid op een noodsituatie; en dat mensen bereid zijn elkaar in geval van nood te helpen.
"|Rode Kruis|070-4455666|Anna van Saksenlaan 50, 2593 HT Den Haag|rodekruis|http://www.rodekruis.nl||||||
1|Het Rode Kruis Woerden houdt zich bezig met het organiseren van Eerste hulp lessen, EHBO op evenementen, Zelfredzaamheid en noodhulp. Dit doen wij vanuit ons hart en met de mouwen opgestroopt. Want wij zijn het Rode Kruis. |Safety & First Aid Service|[{'id': '181679458534697', 'name': 'Safety & First Aid Service'}, {'id': '2603', 'name': 'Nonprofit Organization'}]|Het Rode Kruis is dé hulporganisatie op het gebied van noodhulp, zelfredzaamheid en Eerste hulp||['stichtsweidegebied@rodekruis.nl']|{'count': 61, 'social_sentence': '61 people like this.'}|61.0||681631778847763|0.0|https://www.facebook.com/RodeKruisWoerden/||Rode Kruis Woerden|||RodeKruisWoerden|https://www.rodekruis.nl/stichts-weidegebied/||||||
2|Wij helpen mensen in nood, ook in Amsterdam en omgeving. Dat doen we vanuit ons hart en met de mouwen opgestroopt. Want wij zijn het Rode Kruis.|Safety & First Aid Service|[{'id': '181679458534697', 'name': 'Safety & First Aid Service'}, {'id': '2401', 'name': 'City'}]||Het Rode Kruis Amsterdam-Amstelland biedt noodhulp bij grote en kleine rampen, geeft EHBO-cursussen en biedt Eerste Hulp bij evenementen in de stad. Daarnaast zetten de vrijwilligers van het Amsterdamse Rode Kruis zich in voor kwetsbare stadgenoten. Dit doen ze o.a. door het maatjesproject ‘Samen in Amsterdam’ en het geven van cursussen om het netwerk van mensen en de veiligheid in en om het huis te vergroten. |['receptieamsterdam@redcross.nl']|{'count': 3188, 'social_sentence': '3.1K people like this.'}|3188.0||149048595164968|0.0|https://www.facebook.com/RodeKruisAmsterdamAmstelland/||Rode Kruis Amsterdam-Amstelland|(+31) (0)20 62 26 211|Valkenburgerstraat 24, 1011 LZ Amsterdam|RodeKruisAmsterdamAmstelland|www.rodekruis.nl/amsterdam-amstelland/|1867|{'mon_1_open': '09:00', 'mon_1_close': '20:00', 'tue_1_open': '09:00', 'tue_1_close': '20:00', 'wed_1_open': '09:00', 'wed_1_close': '20:00', 'thu_1_open': '09:00', 'thu_1_close': '20:00', 'fri_1_open': '09:00', 'fri_1_close': '16:30'}||||
3|Rode Kruis Studentendesk Wageningen biedt studenten de kans om zich in te zetten voor een wereldwijde organisatie in eigen stad.|Nonprofit Organization|[{'id': '2603', 'name': 'Nonprofit Organization'}]||"Wat is een studentendesk?

Een Studentendesk is een link tussen het Rode Kruis en jouw universiteitsstad. Een Studentendesk bestaat uit 5 tot 6 enthousiaste bestuursleden en organiseert in samenwerking met studenten een aantal jaarlijks terugkerende activiteiten. 

Wat kun je doen?

•	Word bestuurslid of commissielid en bedenk en organiseer activiteiten die vallen binnen de doelstellingen van het Rode Kruis.
•	Wordt vrijwilliger voor één van de vele projecten

Ben je geïnteresseerd geraakt en/of wil je meer informatie? Stuur dan vrijblijvend een e-mail naar: Studentendeskwageningen@rodekruis.nl

"|['studentendeskwageningen@rodekruis.nl']|{'count': 1164, 'social_sentence': '1.1K people like this.'}|1164.0||667776816592311|0.0|https://www.facebook.com/rodekruisstudentendesk.wageningen/||Rode Kruis Studentendesk Wageningen||Wageningen|rodekruisstudentendesk.wageningen|https://www.rodekruis.nl/studentendesk-wageningen/||||||
5|Nederlandse Rode Kruis locatie Venlo|Nonprofit Organization|[{'id': '2603', 'name': 'Nonprofit Organization'}, {'id': '226326230802065', 'name': 'Charity Organization'}]|"Het rode kruis verzorgd in venlo Eerste Hulp bij evenementen, 
Deze eerste hulp vrijwilligers worden bij ons opgeleid deze cursussen kunt u of uw bedrijf ook volgen 

Ook bij ons terecht voor de begeleiding van zelfredzaamheid bij ouderen

ieder jaar word i.s.m. Jocus een carnavalsmiddag georganiseerd voor gehandicapten in de regio maar er worden veel meer activiteiten georganiseerd voor ouderen gehandicapten of wie dan ook in onze samenleving."|Nederlandse Rode Kruis Locatie Venlo|['venlo@rodekruis.nl']|{'count': 375, 'social_sentence': '375 people like this.'}|375.0||113007342241825|0.0|https://www.facebook.com/Rodekruisvenlo/|"Het rode kruis verzorgd in venlo Eerste Hulp bij evenementen, 
Deze eerste hulp vrijwilligers worden bij ons opgeleid deze cursussen kunt u of uw bedrijf ook volgen 

Ook bij ons terecht voor de begeleiding van zelfredzaamheid bij ouderen

ieder jaar word i.s.m. Jocus een carnavalsmiddag georganiseerd voor gehandicapten in de regio maar er worden veel meer activiteiten georganiseerd voor ouderen gehandicapten of wie dan ook in onze samenleving."|Rode Kruis Venlo|+31 77 351 53 88|Nijmeegseweg 40, 5916PT Venlo (gemeente)|Rodekruisvenlo|http://rodekruis.nl/venlo|Henry Dunant||||08/16/1914|
6|Het Rode Kruis Ziekenhuis is een algemeen ziekenhuis voor de regio Kennemerland. Ons Brandwondencentrum staat nationaal en internationaal aan de top. |Medical Service|[{'id': '1154837367920704', 'name': 'Medical Service'}, {'id': '133152263416981', 'name': 'Hospital'}]||Het Rode Kruis Ziekenhuis is een algemeen ziekenhuis voor de regio Kennemerland en is gevestigd in Beverwijk. Ons Brandwondencentrum staat nationaal en internationaal aan de top. Onze website is www.rkz.nl, en kijk ook eens op onze kinderwebsite: www.kinderwebsite.rkz.nl (facebook.com/bodebever - like;-). |['website@rkz.nl']|{'count': 3248, 'social_sentence': '3.2K people like this.'}|3248.0||132119723547236|0.0|https://www.facebook.com/RKZ.BrandwondencentrumBeverwijk/||Rode Kruis Ziekenhuis / Brandwondencentrum Beverwijk|0251265555|Vondellaan 13, 1942 LE Beverwijk|RKZ.BrandwondencentrumBeverwijk|www.rkz.nl|1927|||||https://www.rkz.nl/privacy_en_cookies
7|Dit is de officiële pagina van het Rode Kruis afdeling Apeldoorn. Dé hulpverleningsorganisatie van Apeldoorn. Deze pagina geeft onze activiteiten weer.|Nonprofit Organization|[{'id': '2603', 'name': 'Nonprofit Organization'}, {'id': '181679458534697', 'name': 'Safety & First Aid Service'}, {'id': '228143393877753', 'name': 'Medical Center'}]|||['secretariaat@rodekruis-apeldoorn.nl']|{'count': 907, 'social_sentence': '907 people like this.'}|907.0||1460675580851761|0.0|https://www.facebook.com/RodeKruisApeldoorn/|In Apeldoorn helpen we met noodhulp, evenementenhulp, voorlichting, sociale hulp, EHBO en zetten we acties op. Het Rode Kruis helpt altijd, iedereen en overal om menselijk leed te helpen voorkomen of te verzachten. Ook bij jou in de straat.|Rode Kruis Apeldoorn|0553553340|Schuttersweg 41, 7314LD Apeldoorn|RodeKruisApeldoorn|http://www.rodekruis.nl/afdeling/apeldoorn||{'mon_1_open': '09:00', 'mon_1_close': '17:00', 'mon_2_open': '18:30', 'mon_2_close': '21:30', 'tue_1_open': '09:00', 'tue_1_close': '17:00', 'tue_2_open': '18:30', 'tue_2_close': '22:00', 'wed_1_open': '09:00', 'wed_1_close': '17:00', 'thu_1_open': '09:00', 'thu_1_close': '17:00', 'fri_1_open': '09:00', 'fri_1_close': '17:00'}||||
8|Het Rode Kruis helpt altijd, iedereen en overal om menselijk leed te helpen voorkomen of te verzachten. Kom ook in actie en word vrijwilliger, volg een cursus of steun ons werk met uw gift​.|Community|[{'id': '2612', 'name': 'Community'}]|||['receptie.utrecht@rodekruis.nl']|{'count': 310, 'social_sentence': '310 people like this.'}|310.0||1689606157948820|0.0|https://www.facebook.com/rodekruisutrecht/||Rode Kruis Utrecht|+31302520134|Koningsweg 2, Utrecht (stad)|rodekruisutrecht|https://www.rodekruis.nl/utrecht/||||||https://www.rodekruis.nl/privacy-statement/
9|Wij helpen mensen in nood. Dat doen we om de hoek – en ver weg. Dat doen we vanuit ons hart en met de mouwen opgestroopt. Want wij zijn het Rode Kruis. Ook op de bike! - Rode Kruis Bike-Platform|Safety & First Aid Service|[{'id': '181679458534697', 'name': 'Safety & First Aid Service'}, {'id': '2235', 'name': 'Non-Governmental Organization (NGO)'}]||"Wij helpen mensen in nood. Dat doen we om de hoek – en ver weg. Dat doen we vanuit ons hart en met de mouwen opgestroopt. Want wij zijn het Rode Kruis, ook op de pedalen.

Ook op de bike, in bike-teams door het hele land. Sinds 2008 vormen bike-teams een waardevolle aanvulling op de evenementenhulp. Goed getrainde bikers, die op veel plekken snel ter plekke kunnen komen om hulp te verlenen en ondersteuning te bieden. 

Sinds 2015 bestaat het Rode Kruis Bike-Platform, met als doel de bike-teams verder te professionaliseren en te ontwikkelen. Zodat bike-teams alleen maar waardervoller kunnen worden. Op deze facebookpagina kun je met ons meereizen en informatie vinden over bike-teams, de inzetten en natuurlijk de ontwikkelingen."|['bike-platform@rodekruis.nl']|{'count': 815, 'social_sentence': '815 people like this.'}|815.0|Rode Kruis Bike-Platform (RKBP) voor EHBO-bike-teams / Dutch Red Cross platform for: Cycle Response Units / Teams (CRU), Bike Emergency Respons Teams (BERT), First Aid Bike-Teams|1434454030125116|0.0|https://www.facebook.com/biketeam/|Wij helpen mensen in nood. Dat doen we om de hoek – en ver weg. Dat doen we vanuit ons hart en met de mouwen opgestroopt. Want wij zijn het Rode Kruis. Ook op de bike!|Bike-Team Rode Kruis||Brahmsstraat 5, 8031 DB Zwolle|biketeam|http://www.rodekruis.nl|||||01/21/2015|https://www.rodekruis.nl/privacy-statement/
10|Welkom bij Het Rode Kruis afdeling Doesburg - Ontstaan in 1870 en hun thuisbasis is in één van de oudste Hanzesteden van Nederland.Kom erbij .|Cause|[{'id': '2606', 'name': 'Cause'}]||"Welkom bij Het Rode Kruis afdeling Doesburg - Ontstaan in 1870 en hun thuisbasis is in één van de oudste Hanzesteden van Nederland.(Kreeg in 1273 stadrechten) Een afdeling met geschiedenis en toekomst - Een gezellig afdeling met leuke leden.
An van der Meij is onze afdelingshoofd en ze is een afdelingshoofd dat er is voor haar mensen.
We hebben inzetten zoals de Motorrun, Fotografica, Hanzefeesten , Halfvastenoptocht, Koningsdag, de Kerstmarkt rondom het oude hart ook. en nog veel meer
Natuurlijk kan afdeling Doesburg altijd nieuwe mensen gebruiken smile-emoticon Heb jij zin om bij ons te komen - deel te maken van deze leuke afdeling? meld je dan:
Afdeling Doesburg e.o.
Weth J Tieckenstraat 37
6986 BA ANGERLO
0313-633222
http://www.rodekruis.nl/gelderland-midden
Afdeling Doesburg - daar waar je je thuis kunt voelen - Dus kom erbij :-)"||{'count': 67, 'social_sentence': '67 people like this.'}|67.0||653600581404206|0.0|https://www.facebook.com/RodeKruisDoesburg/|Daar te helpen waar hulp nodig is.|Rode Kruis Doesburg||Roggestraat 3, Doesburg|RodeKruisDoesburg|http://www.rodekruis.nl/afdeling/doesburg|1870|||||
