,address,min_dist,name_web,web_lat,web_lng,weight
33375,"Columbusweg 30 Amersfoort, Utrecht 3814 WE",0.16748491004545782,- or -,52.1598809,5.4024168,0.020437746731746798
31895,"Postbus 28120, 2502 KC Den Haag",0.30079926814267965,1 dag,52.0818604,4.346826,0.05555555555555555
33453,"Columbusweg 30 Amersfoort, Utrecht 3814 WE",0.10246148732294323,10 jaar,52.1598809,5.4024168,0.07692307692307693
31902,"Postbus 28120, 2502 KC Den Haag",0.0015550679379505944,2593 HT Den Haag,52.0818604,4.346826,0.019230769230769232
33316,"Columbusweg 30 Amersfoort, Utrecht 3814 WE",0.26552195354624497,3 maanden,52.1598809,5.4024168,0.1111111111111111
30450,"Kwartellaan 13 Zeist, Utrecht 3704 ET",0.32661539061484146,6 maanden,52.0922815,5.2135435,0.05555555555555555
67574,"Postbus 440 Aalsmeer, Noord-Holland 1430 AK",0.008667243933446166,Afdeling Aalsmeer,52.2621639,4.7619222,0.01186707874746588
32705,"Gasthuisstraat 78 Winterswijk, Gelderland 7101 DX",1.3700136850310274e-06,Afdeling Achterhoek Oost,51.973461799999995,6.7153871,0.05882352941176471
47851,"Duivenstraat 70 Papendrecht, Zuid-Holland 3353 AG",0.25495820217484816,Afdeling Alblasserwaard,51.825803,4.6907499,0.05555555555555555
19162,"Hofkampstraat 102 Almelo, Overijssel 7607 NJ",0.03752757581988258,Afdeling Almelo,52.3532884,6.6735415,0.013138551470408657
6114,"Wagenmakerbaan 47 Almere, Flevoland 1315 BC",0.0003047293203795835,Afdeling Almere,52.3694673,5.2145011,0.03448275862068965
42881,"Dillenburg 2 Alphen Aan Den Rijn, Zuid-Holland 2404 EV",0.00017379964284183752,Afdeling Alphen aan de Rijn e.o.,52.1334028,4.6530849000000005,0.019230769230769232
33301,"Columbusweg 30 Amersfoort, Utrecht 3814 WE",0.0,Afdeling Amersfoort-Eemland,52.1598809,5.4024168,0.023809523809523808
18434,"Hueseplein 15 Amstelveen, Noord-Holland 1185 HH",0.027594151200092617,Afdeling Amstelveen,52.2968493,4.855462699999999,0.00799737915590092
64963,"Valkenburgerstraat 24 Amsterdam, Noord-Holland 1011 LZ",0.0,Afdeling Amsterdam,52.3702505,4.9080238,0.027027027027027032
61542,"Schuttersweg 41 Apeldoorn, Gelderland 7314 LD",0.00014572662687679618,Afdeling Apeldoorn,52.21387739999999,5.9433802,0.02564102564102564
494,"Cattepoelseweg 263 Arnhem, Gelderland 6815 CD",0.009690856994183657,Afdeling Arnhem,52.00366210000001,5.9098378999999985,0.029411764705882356
39465,"Delft 73 Assen, Drenthe 9406 GD",0.00010120780380636864,Afdeling Assen-Vries,52.9964424,6.537250299999998,0.009196986029286059
54458,"Burgemeester Penstraat 6 Baarn, Utrecht 3741 AH",0.0,Afdeling Baarn-Soest,52.2127923,5.2932989,0.014715177646857694
33797,"Nijkerkerweg 119 Barneveld, Gelderland 3771 LA",0.0,Afdeling Barneveld,52.150521600000005,5.5666421999999995,0.02564102564102564
33,"Keulseweg 39 A Reuver, Limburg 5953 HE",0.0,Afdeling Beesel Reuver Offenbeek,51.28634479999999,6.0848605000000004,0.009681037925564271
39213,"Postadres: Heidenendstraat 21 Tegelen, Limburg 5932 XV",0.16667969139789793,Afdeling Belfeld,51.334492700000006,6.1585363,0.047619047619047616
45038,"Eksterstraat 12 Benschop, Utrecht 3405 WH",0.003716780116394685,Afdeling Benschop,52.00556230000001,4.9770708,0.010510841176326923
67103,"Pieter Mondriaanstraat 11 Bergen Lb, Limburg 5854GA",0.0329889862608326,Afdeling Bergen (L,51.603622200000004,6.0601818,0.030303030303030307
11333,"Karmel 225 Bergen Op Zoom, Noord-Brabant 4613 BS",0.00016319948925533733,Afdeling Bergen op Zoom e.o.,51.5030394,4.2773428,0.00014037389581428056
9538,"Postbus 130 Bergen Nh, Noord-Holland 1860 AC",0.2459072103125765,Afdeling Bergen-Egmond-Schoorl,52.674936800000005,4.7063945999999985,0.030303030303030307
69217,"Haarloseweg 2 -3 Borculo, Gelderland 7271 BT",0.0025093419113887553,Afdeling Berkelland,52.1117226,6.522216299999998,0.027777777777777776
23944,"Nazarethstraat 144 Best, Noord-Brabant 5683 AB",0.003612442025900285,Afdeling Best,51.5110576,5.394207700000001,0.047619047619047616
47485,"Schoolstraat 16 Beuningen Gld, Gelderland 6641 EV",0.00013770054650996447,Afdeling Beuningen (Gld,51.8618381,5.7723252999999985,0.0004259450904356786
39856,"Jamarstraat 11 Simpelveld, Limburg 6369 ED",0.0,Afdeling Bocholtz-Simpelveld-Vaals,50.8363404,5.980809499999999,0.012262648039048078
64235,"Koninginneweg 3 a Bodegraven, Zuid-Holland 2411 XK",3.1665993927957695e-05,Afdeling Bodegraven,52.0875589,4.7557816,0.008759034313605769
16536,"Hoveniersland 22 Zaltbommel, Gelderland 5301 VA",0.020399516570923443,Afdeling Bommelerwaard,51.807848799999995,5.239637099999999,0.027777777777777776
56369,"Eendenkuil 1 Odoorn, Drenthe 7873 BM",0.08262007633742076,Afdeling Borger-Odoorn,52.85078299999999,6.8450973999999984,0.010510841176326923
55725,"Doetinchemseweg 7 Zelhem, Gelderland 7021 BP",0.5077989612896169,Afdeling Bronckhorst,52.0052793,6.3484697,0.043478260869565216
14816,"Handelstraat 45 Eerbeek, Gelderland 6961 AD",0.0,Afdeling Brummen-Eerbeek-Hall-Loenen,52.11037779999999,6.0554156,0.010218873365873396
63003,"De Insel 18 Brunssum, Limburg 6442 AJ",0.0,Afdeling Brunssum e.o.,50.949388299999995,5.9820765,0.023809523809523808
10866,"Willem Dreesstraat 3 Bunschoten Spakenburg, Utrecht 3752 AX",0.0002623082728910997,Afdeling Bunschoten/Spakenburg,52.249562100000006,5.3748594,0.0003663127777746837
54136,"Groningen,",0.019004269627788856,Afdeling Centraal Groningen,53.2193835,6.566501700000001,0.02
20107,"Otto van Reesweg 10 Culemborg, Gelderland 4105 AA",0.020084096148976743,Afdeling Culemborg,51.95296630000001,5.2195697,0.009942687599228173
3725,"Kloosterstraat 16 Lemelerveld, Overijssel 8152 AP",4.392306183901394e-05,Afdeling Dalfsen-Lemelerveld-Nieuwleusen,52.4462282,6.3373791,0.009432806183883136
37278,"Hoge Steenweg 19 Breda, Noord-Brabant 4811 CG",0.4758717549057538,Afdeling De Baronie,51.59497589999999,4.7907028,0.07692307692307693
56677,"Sint Laurensweg 13 De Bilt, Utrecht 3732 BA",2.1642579538517487e-05,Afdeling De Bilt,52.11213239999999,5.1859605,0.00131018600968063
14860,"Handelstraat 45 Eerbeek, Gelderland 6961 AD",0.5166680456395432,Afdeling De Graafschap,52.11037779999999,6.0554156,0.043478260869565216
58570,"James Ensorstraat 3 Waalwijk, Noord-Brabant 5143 HC",0.18365792554465712,Afdeling De Langstraat,51.6792489,5.0877338,0.043478260869565216
11223,"De Waring 38 Hoogeveen, Drenthe 7908 LE",0.2430659620212274,Afdeling De Wolden,52.713770200000006,6.443499600000001,0.038461538461538464
67929,"Torendreef 22 Bladel, Noord-Brabant 5531 ET",0.00016187444026064598,Afdeling De Zaligheden,51.370369000000004,5.224833900000001,0.043478260869565216
2691,"Delft,",0.0,Afdeling Delft Midden-Delfland,52.01157689999999,4.3570677,0.03448275862068965
